epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,467.175,0.47749,0.69467,1.00699,0.91689,0.92893,0.96932,0.89301,0.39708,0.52038,0.89281,0.00108088,0.00108088,0.00108088
43,479.594,0.48584,0.68632,0.98924,0.86977,0.90942,0.9638,0.87912,0.43792,0.60309,0.93896,0.00107675,0.00107675,0.00107675
44,488.72,0.47368,0.63538,0.9934,0.91283,0.87301,0.96393,0.88704,0.38396,0.56335,0.90052,0.00107263,0.00107263,0.00107263
45,500.419,0.48869,0.65846,1.00624,0.849,0.82558,0.93249,0.84262,0.43443,0.70139,0.93575,0.0010685,0.0010685,0.0010685
46,511.698,0.47925,0.68103,0.99265,0.84101,0.88881,0.9236,0.85172,0.40902,0.63654,0.89758,0.00106437,0.00106437,0.00106437
47,520.998,0.48004,0.66086,1.00618,0.86818,0.89692,0.94169,0.86575,0.41579,0.61125,0.91485,0.00106025,0.00106025,0.00106025
48,532.521,0.4693,0.62531,1.00246,0.9167,0.90075,0.96376,0.88405,0.40145,0.56393,0.91716,0.00105612,0.00105612,0.00105612
49,542.443,0.47601,0.64679,1.00427,0.94618,0.93015,0.97692,0.88839,0.45,0.46504,0.94004,0.001052,0.001052,0.001052
50,552.839,0.48118,0.66573,1.01339,0.90645,0.88589,0.96464,0.89606,0.39616,0.58985,0.91438,0.00104787,0.00104787,0.00104787
51,564.831,0.4673,0.606,0.99293,0.94562,0.91495,0.97683,0.90763,0.38864,0.46877,0.90012,0.00104375,0.00104375,0.00104375
52,573.937,0.48457,0.58131,1.01909,0.97022,0.94,0.9889,0.90865,0.40531,0.41437,0.90907,0.00103962,0.00103962,0.00103962
53,585.445,0.49114,0.60518,1.00045,0.91632,0.94592,0.98219,0.90928,0.41031,0.42862,0.90525,0.0010355,0.0010355,0.0010355
